land_use,year,point,site,depth,wet,dry,bag_type,bag_g,soil_g,volume,BD,depth2
forest,2020,1,FP1,0-10,118.46,103.5,M,5.077,98.42,86.7472,1.1346,10
forest,2020,1,FP1,20-Oct,119.06,105.4,M,5.077,100.32,86.7472,1.1565,20
forest,2020,1,FP1,40-50,133.34,116.1,M,5.077,111.02,86.7472,1.2798,50
forest,2020,1,FP1,90-100,111.42,98.5,G,6.58,91.92,86.7472,1.0596,100
forest,2020,1,FP1,190-200,132.76,119.4,M,5.077,114.32,86.7472,1.3179,200
forest,2020,2,FP2,0-10,111.8,94.8,G,6.58,88.22,86.7472,1.017,10
forest,2020,2,FP2,20-Oct,133.8,114.1,G,6.58,107.52,86.7472,1.2395,20
forest,2020,2,FP2,40-50,155.5,133.7,M,5.077,128.62,86.7472,1.4827,50
forest,2020,2,FP2,90-100,146.8,126.1,G,6.58,119.52,86.7472,1.3778,100
forest,2020,2,FP2,190-200,127.5,108.1,G,6.58,101.52,86.7472,1.1703,200
soy,2004,4,S04P4,0-10,128.3,108.9,M,5.077,103.82,86.7472,1.1968,10
soy,2004,4,S04P4,20-Oct,155.77,128.8,G,6.58,122.22,86.7472,1.4089,20
soy,2004,4,S04P4,40-50,120.9,98.5,G,6.58,91.92,86.7472,1.0596,50
soy,2004,4,S04P4,90-100,125.11,101.2,G,6.58,94.62,86.7472,1.0908,100
soy,2004,4,S04P4,190-200,122.89,99.5,G,6.58,92.92,86.7472,1.0712,200
soy,2004,6,S04P6,0-10,152.9,132.4,G,6.58,125.82,86.7472,1.4504,10
soy,2004,6,S04P6,20-Oct,142.34,121.4,G,6.58,114.82,86.7472,1.3236,20
soy,2004,6,S04P6,40-50,118.61,97.8,G,6.58,91.22,86.7472,1.0516,50
soy,2004,6,S04P6,90-100,140.46,114.9,G,6.58,108.32,86.7472,1.2487,100
soy,2004,6,S04P6,190-200,121.1,98.3,G,6.58,91.72,86.7472,1.0573,200
soy,2007,1,S07P1,0-10,116.92,113.5,M,5.077,108.42,86.7472,1.2499,10
soy,2007,1,S07P1,20-Oct,168.86,157.4,M,5.077,152.32,86.7472,1.7559,20
soy,2007,1,S07P1,40-50,167.14,147.8,M,5.077,142.72,86.7472,1.6453,50
soy,2007,1,S07P1,90-100,153.23,134.7,M,5.077,129.62,86.7472,1.4943,100
soy,2007,1,S07P1,190-200,147.18,129.3,M,NA,NA,86.7472,NA,200
soy,2007,2,S07P2,0-10,122.46,119.1,M,5.077,114.02,86.7472,1.3144,10
soy,2007,2,S07P2,20-Oct,166.05,157.7,M,5.077,152.62,86.7472,1.7594,20
soy,2007,2,S07P2,40-50,162.95,151.8,M,5.077,146.72,86.7472,1.6914,50
soy,2007,2,S07P2,90-100,NA,NA,NA,NA,NA,86.7472,NA,100
soy,2007,2,S07P2,190-200,156.2,144.7,M,5.077,139.62,86.7472,1.6095,200
soy,2007,3,S07P3,0-10,139.07,135,M,5.077,129.92,86.7472,1.4977,10
soy,2007,3,S07P3,20-Oct,149.42,141.8,M,5.077,136.72,86.7472,1.5761,20
soy,2007,3,S07P3,40-50,168.83,158.8,M,5.077,153.72,86.7472,1.7721,50
soy,2007,3,S07P3,90-100,144.4,135.2,M,5.077,130.12,86.7472,1.5,100
soy,2007,3,S07P3,190-200,159.46,149.1,M,5.077,144.02,86.7472,1.6603,200
soy,2008,1,S08P1,0-10,142.56,132.2,M,5.077,127.12,86.7472,1.4654,10
soy,2008,1,S08P1,20-Oct,157.89,139.1,M,5.077,134.02,86.7472,1.545,20
soy,2008,1,S08P1,40-50,145.4,125.9,M,5.077,120.82,86.7472,1.3928,50
soy,2008,1,S08P1,90-100,136.62,117.3,M,5.077,112.22,86.7472,1.2937,100
soy,2008,1,S08P1,190-200,135.64,117.3,M,5.077,112.22,86.7472,1.2937,200
soy,2008,2,S08P3,0-10,143.25,131.2,2*G,13.16,118.04,86.7472,1.3607,10
soy,2008,2,S08P3,20-Oct,154.86,139.1,M,5.077,134.02,86.7472,1.545,20
soy,2008,2,S08P3,40-50,146.64,129.8,M,5.077,124.72,86.7472,1.4378,50
soy,2008,2,S08P3,90-100,132.28,116.1,M,5.077,111.02,86.7472,1.2798,100
soy,2008,2,S08P3,190-200,128.08,111.6,M,5.077,106.52,86.7472,1.228,200
soy,2008,4,S08P4,0-10,,135.9,M,5.077,130.82,86.7472,1.5081,10
soy,2008,4,S08P4,20-Oct,,155.5,M,5.077,150.42,86.7472,1.734,20
soy,2008,4,S08P4,40-50,,137.6,M,5.077,132.52,86.7472,1.5277,50
soy,2008,4,S08P4,90-100,,130,M,5.077,124.92,86.7472,1.4401,100
soy,2008,4,S08P4,190-200,,120.1,M,5.077,115.02,86.7472,1.326,200
soy,2003,6,S03P6,0-10,,149.7,M,5.077,144.62,86.7472,1.6672,10
soy,2003,6,S03P6,20-Oct,,120.8,M,5.077,115.72,86.7472,1.334,20
soy,2003,6,S03P6,40-50,,134.4,M,5.077,129.32,86.7472,1.4908,50
soy,2003,6,S03P6,90-100,,119.6,M,5.077,114.52,86.7472,1.3202,100
soy,2003,6,S03P6,190-200,,102.9,M,5.077,97.82,86.7472,1.1277,200
forest,2020,4,FP4,0-10,,95,M,5.077,89.92,86.7472,1.0366,10
forest,2020,4,FP4,20-Oct,,118.7,M,5.077,113.62,86.7472,1.3098,20
forest,2020,4,FP4,40-50,,123,M,5.077,117.92,86.7472,1.3594,50
forest,2020,4,FP4,90-100,,111.3,M,5.077,106.22,86.7472,1.2245,100
forest,2020,4,FP4,190-200,,101.7,M,5.077,96.62,86.7472,1.1138,200
soy,2008,2,S08P2,0-10,,137.8,M,5.077,132.72,86.7472,1.53,10
soy,2008,2,S08P2,20-Oct,,143,M,5.077,137.92,86.7472,1.5899,20
soy,2008,2,S08P2,40-50,,123.1,M,5.077,118.02,86.7472,1.3605,50
soy,2008,2,S08P2,90-100,,122.4,M,5.077,117.32,86.7472,1.3525,100
soy,2007,7,S07P7,0-10,,147.2,M,5.077,142.12,86.7472,1.6384,10
soy,2007,7,S07P7,20-Oct,,147.9,M,5.077,142.82,86.7472,1.6464,20
soy,2007,7,S07P7,40-50,,134.9,M,5.077,129.82,86.7472,1.4966,50
soy,2007,7,S07P7,90-100,,128.3,M,5.077,123.22,86.7472,1.4205,100
forest,2020,6,FP6,0-10,,118.8,M,5.077,113.72,86.7472,1.311,10
forest,2020,6,FP6,20-Oct,,124.5,M,5.077,119.42,86.7472,1.3767,20
forest,2020,6,FP6,40-50,,136.8,M,5.077,131.72,86.7472,1.5185,50
forest,2020,6,FP6,90-100,,126.4,M,5.077,121.32,86.7472,1.3986,100
soy,2008,7,S08P7,0-10,,133.6,M,5.077,128.52,86.7472,1.4816,10
soy,2008,7,S08P7,20-Oct,,145.41,M,5.077,140.33,86.7472,1.6177,20
soy,2008,7,S08P7,40-50,,133.84,M,5.077,128.76,86.7472,1.4843,50
soy,2008,7,S08P7,90-100,,127.48,M,5.077,122.4,86.7472,1.411,100
soy,2003,5,S03P5,0-10,,134.69,M,5.077,129.61,86.7472,1.4941,10
soy,2003,5,S03P5,20-Oct,,154.41,M,5.077,149.33,86.7472,1.7215,20
soy,2003,5,S03P5,40-50,,135.27,M,5.077,130.19,86.7472,1.5008,50
soy,2003,5,S03P5,90-100,,112.19,M,5.077,107.11,86.7472,1.2348,100
soy,2007,6,S07P6,0-10,,157.23,M,5.077,152.15,86.7472,1.754,10
soy,2007,6,S07P6,20-Oct,,171.92,M,5.077,166.84,86.7472,1.9233,20
soy,2007,6,S07P6,40-50,,NA,M,NA,NA,86.7472,NA,50
soy,2007,6,S07P6,90-100,,140.09,M,5.077,135.01,86.7472,1.5564,100
soy,2008,6,S08P6,0-10,,158.35,M,5.077,153.27,86.7472,1.7669,10
soy,2008,6,S08P6,20-Oct,,158.67,M,5.077,153.59,86.7472,1.7706,20
soy,2008,6,S08P6,40-50,,146.63,M,5.077,141.55,86.7472,1.6318,50
soy,2008,6,S08P6,90-100,,133.54,M,5.077,128.46,86.7472,1.4809,100
soy,2008,5,S08P5,0-10,,143.81,M,5.077,138.73,86.7472,1.5993,10
soy,2008,5,S08P5,20-Oct,,149.93,M,5.077,144.85,86.7472,1.6698,20
soy,2008,5,S08P5,40-50,,157.44,M,5.077,152.36,86.7472,1.7564,50
soy,2008,5,S08P5,90-100,,140.23,M,5.077,135.15,86.7472,1.558,100
forest,2020,3,FP3,0-10,,127.34,M,5.077,122.26,86.7472,1.4094,10
forest,2020,3,FP3,20-Oct,,143.12,M,5.077,138.04,86.7472,1.5913,20
forest,2020,3,FP3,40-50,,150.54,M,5.077,145.46,86.7472,1.6769,50
forest,2020,3,FP3,90-100,,147.35,M,5.077,142.27,86.7472,1.6401,100
forest,2020,7,FP7,0-10,,109.77,M,5.077,104.69,86.7472,1.2069,10
forest,2020,7,FP7,20-Oct,,127.18,M,5.077,122.1,86.7472,1.4076,20
forest,2020,7,FP7,40-50,,142.51,M,5.077,137.43,86.7472,1.5843,50
forest,2020,7,FP7,90-100,,144.37,M,5.077,139.29,86.7472,1.6057,100
soy,2007,5,S07P5,0-10,,128.7,M,5.077,123.62,86.7472,1.4251,10
soy,2007,5,S07P5,20-Oct,,138.06,M,5.077,132.98,86.7472,1.533,20
soy,2007,5,S07P5,40-50,,120.91,M,5.077,115.83,86.7472,1.3353,50
soy,2007,5,S07P5,90-100,,123.14,M,5.077,118.06,86.7472,1.361,100
soy,2007,4,S07P4,0-10,,160.33,M,5.077,155.25,86.7472,1.7897,10
soy,2007,4,S07P4,20-Oct,,154.52,M,5.077,149.44,86.7472,1.7227,20
soy,2007,4,S07P4,40-50,,164.23,M,5.077,159.15,86.7472,1.8347,50
soy,2007,4,S07P4,90-100,,159.81,M,5.077,154.73,86.7472,1.7837,100
soy,2004,5,S04P5,0-10,,140.81,M,5.077,135.73,86.7472,1.5647,10
soy,2004,5,S04P5,20-Oct,,152.84,M,5.077,147.76,86.7472,1.7034,20
soy,2004,5,S04P5,40-50,,136.65,M,5.077,131.57,86.7472,1.5167,50
soy,2004,5,S04P5,90-100,,124.55,M,5.077,119.47,86.7472,1.3773,100
soy,2004,5,S04P5,190-200,,124.09,M,5.077,119.01,86.7472,1.372,
soy,2004,7,S04P7,0-10,,130.86,M,5.077,125.78,86.7472,1.45,10
soy,2004,7,S04P7,20-Oct,,156.76,M,5.077,151.68,86.7472,1.7486,20
soy,2004,7,S04P7,40-50,,140.32,M,5.077,135.24,86.7472,1.559,50
soy,2004,7,S04P7,90-100,,138.5,M,5.077,133.42,86.7472,1.5381,100
forest,2020,5,FP5,0-10,,107.35,M,5.077,102.27,86.7472,1.179,10
forest,2020,5,FP5,20-Oct,,128.92,M,5.077,123.84,86.7472,1.4276,20
forest,2020,5,FP5,40-50,,128.65,M,5.077,123.57,86.7472,1.4245,50
forest,2020,5,FP5,90-100,,125.43,M,5.077,120.35,86.7472,1.3874,100
soy,2003,4,S03P4,0-10,,129.6,P,2.415,127.19,86.7472,1.4662,10
soy,2003,4,S03P4,20-Oct,,143.6,P,2.415,141.19,86.7472,1.6275,20
soy,2003,4,S03P4,40-50,,123.7,P,2.415,121.29,86.7472,1.3981,50
soy,2003,4,S03P4,90-100,,117,P,2.415,114.59,86.7472,1.3209,100
soy,2003,7,S03P7,0-10,,124.8,P,2.415,122.39,86.7472,1.4108,10
soy,2003,7,S03P7,20-Oct,,166,P,2.415,163.59,86.7472,1.8858,20
soy,2003,7,S03P7,40-50,,149.7,P,2.415,147.29,86.7472,1.6979,50
soy,2003,7,S03P7,90-100,,136.8,P,2.415,134.39,86.7472,1.5492,100
soy,2003,2,S03P2,0-10,,122,P,2.415,119.59,86.7472,1.3785,10
soy,2003,2,S03P2,20-Oct,,149.3,P,2.415,146.89,86.7472,1.6933,20
soy,2003,2,S03P2,40-50,,125.8,P,2.415,123.39,86.7472,1.4224,50
soy,2003,2,S03P2,90-100,,119,P,2.415,116.59,86.7472,1.344,100
soy,2003,3,S03P3,0-10,,127.1,P,2.415,124.69,86.7472,1.4373,10
soy,2003,3,S03P3,20-Oct,,141.9,P,2.415,139.49,86.7472,1.6079,20
soy,2003,3,S03P3,40-50,,153,P,2.415,150.59,86.7472,1.7359,50
soy,2003,3,S03P3,90-100,,133.7,P,2.415,131.29,86.7472,1.5134,100
soy,2003,3,S03P3,190-200,,115.1,P,2.415,112.69,86.7472,1.299,200
soy,2003,1,S03P1,0-10,,138.4,P,2.415,135.99,86.7472,1.5676,10
soy,2003,1,S03P1,20-Oct,,134.3,P,2.415,131.89,86.7472,1.5203,20
soy,2003,1,S03P1,40-50,,126.5,P,2.415,124.09,86.7472,1.4304,50
soy,2003,1,S03P1,90-100,,122.7,P,2.415,120.29,86.7472,1.3866,100
soy,2003,1,S03P1,190-200,,114.1,P,2.415,111.69,86.7472,1.2875,200
soy,2004,1,S04P1,0-10,,118.3,P,2.415,115.89,86.7472,1.3359,10
soy,2004,1,S04P1,20-Oct,,153,P,2.415,150.59,86.7472,1.7359,20
soy,2004,1,S04P1,40-50,,132.1,P,2.415,129.69,86.7472,1.495,50
soy,2004,1,S04P1,90-100,,126.8,P,2.415,124.39,86.7472,1.4339,100
soy,2004,3,S04P3,0-10,,140.8,P,2.415,138.39,86.7472,1.5953,10
soy,2004,3,S04P3,20-Oct,,152.9,P,2.415,150.49,86.7472,1.7348,20
soy,2004,3,S04P3,40-50,,143.7,P,2.415,141.29,86.7472,1.6287,50
soy,2004,3,S04P3,90-100,,135.1,P,2.415,132.69,86.7472,1.5296,100
soy,2004,2,S04P2,0-10,,108.6,P,2.415,106.19,86.7472,1.2241,10
soy,2004,2,S04P2,20-Oct,,146.2,P,2.415,143.79,86.7472,1.6575,20
soy,2004,2,S04P2,40-50,,127.6,P,2.415,125.19,86.7472,1.4431,50
soy,2004,2,S04P2,90-100,,121.5,P,2.415,119.09,86.7472,1.3728,100
