"TOA5","CR1000_K4","CR1000","38186","CR1000.Std.21","CPU:cs616TC_6hr.CR1","12282","avarages"
"TIMESTAMP","RECORD","PA_uS_Avg(1)","PA_uS_Avg(2)","PA_uS_Avg(3)","PA_uS_Avg(4)","PA_uS_Avg(5)","PA_uS_Avg(6)","PA_uS_Avg(7)","PA_uS_Avg(8)","PA_uS_Avg(9)","PA_uS_Avg(10)","PA_uS_Avg(11)","PA_uS_Avg(12)","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","tc_e_Avg(1)","tc_e_Avg(2)","tc_e_Avg(3)","tc_e_Avg(4)","tc_e_Avg(5)","tc_e_Avg(6)","tc_e_Avg(7)","tc_e_Avg(8)","tc_e_Avg(9)","tc_e_Avg(10)","tc_e_Avg(11)","tc_e_Avg(12)","voltage_Min"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2015-01-08 18:00:00",1652,22.72,24.17,21.7,23.2,20.41,22.68,23.77,22.01,26.28,25.91,25.65,24.71,0.152,0.191,0.127,0.164,0.097,0.151,0.179,0.134,0.252,0.24,0.233,0.206,23.58,23.24,22.88,23.23,23.27,23.19,23.11,23.12,"NAN","NAN","NAN","NAN",12.54
"2015-01-09 00:00:00",1653,22.88,24.69,21.71,23.19,20.4,22.67,23.76,22.02,26.27,25.91,25.7,24.71,0.156,0.205,0.127,0.164,0.097,0.151,0.179,0.134,0.251,0.24,0.234,0.205,21.84,23.2,23.07,23.31,23.34,23.23,23.22,23.23,"NAN","NAN","NAN","NAN",12.55
"2015-01-09 06:00:00",1654,22.67,24.42,21.82,23.18,20.39,22.66,23.75,22,26.28,25.91,25.74,24.71,0.151,0.197,0.13,0.164,0.096,0.15,0.179,0.134,0.252,0.24,0.235,0.205,21.09,22.93,23.14,23.34,23.39,23.27,23.27,23.28,"NAN","NAN","NAN","NAN",12.54
"2015-01-09 12:00:00",1655,22.87,24.25,21.99,23.17,20.38,22.66,23.74,22,26.28,25.91,25.78,24.71,0.156,0.192,0.134,0.163,0.096,0.15,0.179,0.134,0.252,0.24,0.237,0.205,22.54,22.68,23.01,23.28,23.34,23.22,23.21,23.23,"NAN","NAN","NAN","NAN",12.54
"2015-01-09 18:00:00",1656,23.44,25.47,23.9,23.15,20.37,22.65,23.74,22.02,26.27,25.91,25.82,24.71,0.171,0.228,0.183,0.163,0.096,0.15,0.179,0.134,0.251,0.24,0.238,0.206,21.31,22.31,22.97,23.31,23.39,23.26,23.27,23.28,"NAN","NAN","NAN","NAN",12.54
"2015-01-10 00:00:00",1657,22.91,24.81,23.59,23.24,20.36,22.64,23.74,22.01,26.27,25.91,25.85,24.71,0.157,0.208,0.175,0.165,0.096,0.15,0.179,0.134,0.251,0.24,0.239,0.206,20.74,22.44,22.9,23.31,23.41,23.29,23.27,23.28,"NAN","NAN","NAN","NAN",12.54
"2015-01-10 06:00:00",1658,22.71,24.57,23.32,23.52,20.35,22.63,23.73,22,26.27,25.91,25.88,24.71,0.152,0.201,0.168,0.173,0.095,0.15,0.178,0.134,0.251,0.24,0.24,0.206,19.5,22.17,22.85,23.32,23.44,23.32,23.31,23.33,"NAN","NAN","NAN","NAN",12.54
"2015-01-10 12:00:00",1659,22.56,24.39,23.14,23.71,20.34,22.62,23.72,22.03,26.27,25.91,25.91,24.72,0.148,0.197,0.163,0.178,0.095,0.149,0.178,0.135,0.251,0.24,0.24,0.206,21.84,21.85,22.64,23.22,23.36,23.2,23.26,23.28,"NAN","NAN","NAN","NAN",12.54
