"TOA5","CR1000_M8","CR1000","37299","CR1000.Std.21","CPU:cs616TC_6hr.CR1","12282","avarages"
"TIMESTAMP","RECORD","PA_uS_Avg(1)","PA_uS_Avg(2)","PA_uS_Avg(3)","PA_uS_Avg(4)","PA_uS_Avg(5)","PA_uS_Avg(6)","PA_uS_Avg(7)","PA_uS_Avg(8)","PA_uS_Avg(9)","PA_uS_Avg(10)","PA_uS_Avg(11)","PA_uS_Avg(12)","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","tc_e_Avg(1)","tc_e_Avg(2)","tc_e_Avg(3)","tc_e_Avg(4)","tc_e_Avg(5)","tc_e_Avg(6)","tc_e_Avg(7)","tc_e_Avg(8)","tc_e_Avg(9)","tc_e_Avg(10)","tc_e_Avg(11)","tc_e_Avg(12)","voltage_Min"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2013-12-12 18:00:00",84,20.5,20.23,19.86,23.59,22.36,21.28,23.83,23.03,24.92,24.24,24.08,24.44,0.099,0.093,0.085,0.175,0.143,0.117,0.181,0.16,0.211,0.192,0.188,0.198,26.18,26.17,25.11,25.09,24.8,24.69,24.62,24.66,"NAN","NAN","NAN","NAN",12.54
"2013-12-13 00:00:00",85,20.47,20.23,19.84,23.57,22.36,21.28,23.84,23.03,24.91,24.24,24.08,24.4,0.098,0.093,0.084,0.174,0.143,0.117,0.181,0.16,0.211,0.192,0.188,0.197,22.91,25.1,25.27,25.1,24.8,24.67,24.61,24.64,"NAN","NAN","NAN","NAN",12.53
"2013-12-13 06:00:00",86,20.66,20.23,19.85,23.57,22.35,21.29,23.86,23.03,24.92,24.24,24.07,24.36,0.102,0.093,0.084,0.174,0.143,0.117,0.182,0.16,0.211,0.192,0.188,0.196,22.22,24.4,25.22,25.09,24.79,24.65,24.59,24.62,"NAN","NAN","NAN","NAN",12.53
"2013-12-13 12:00:00",87,20.59,20.23,19.84,23.56,22.35,21.28,23.86,23.03,24.92,24.24,24.05,24.28,0.101,0.093,0.084,0.174,0.143,0.117,0.182,0.16,0.211,0.192,0.187,0.193,24.25,24.36,25.04,25.06,24.75,24.59,24.6,24.61,"NAN","NAN","NAN","NAN",12.52
"2013-12-13 18:00:00",88,20.52,20.18,19.82,23.54,22.35,21.28,23.87,23.03,24.91,24.24,24.05,24.22,0.099,0.092,0.084,0.173,0.143,0.117,0.182,0.16,0.211,0.192,0.187,0.192,25.69,25.64,24.95,25.08,24.79,24.65,24.59,24.61,"NAN","NAN","NAN","NAN",12.52
"2013-12-14 00:00:00",89,21.09,20.17,19.82,23.53,22.35,21.29,23.88,23.04,24.92,24.24,24.05,24.18,0.112,0.091,0.084,0.173,0.143,0.117,0.182,0.16,0.211,0.192,0.187,0.191,22.35,24.69,25.06,25.08,24.8,24.65,24.59,24.61,"NAN","NAN","NAN","NAN",12.52
"2013-12-14 06:00:00",90,21.23,20.17,19.81,23.53,22.35,21.28,23.89,23.04,24.91,24.24,24.05,24.14,0.116,0.091,0.084,0.173,0.142,0.117,0.183,0.16,0.211,0.192,0.187,0.189,21.94,23.99,25,25.06,24.8,24.65,24.59,24.61,"NAN","NAN","NAN","NAN",12.52
"2013-12-14 12:00:00",91,24.08,22.68,19.82,23.53,22.34,21.28,23.9,23.04,24.9,24.24,24.05,24.15,0.188,0.151,0.084,0.173,0.142,0.117,0.183,0.16,0.211,0.192,0.187,0.19,22.49,23.42,24.78,25.04,24.77,24.62,24.59,24.6,"NAN","NAN","NAN","NAN",12.52
