"TOA5","CR1000_Mutum","CR1000","38182","CR1000.Std.21","CPU:MUTUMcs616TCcal_6hr.CR1","40663","avarages"
"TIMESTAMP","RECORD","PA_uS_Avg(1)","PA_uS_Avg(2)","PA_uS_Avg(3)","PA_uS_Avg(4)","PA_uS_Avg(5)","PA_uS_Avg(6)","PA_uS_Avg(7)","PA_uS_Avg(8)","PA_uS_Avg(9)","PA_uS_Avg(10)","PA_uS_Avg(11)","PA_uS_Avg(12)","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","tc_e_Avg(1)","tc_e_Avg(2)","tc_e_Avg(3)","tc_e_Avg(4)","tc_e_Avg(5)","tc_e_Avg(6)","tc_e_Avg(7)","tc_e_Avg(8)","tc_e_Avg(9)","tc_e_Avg(10)","tc_e_Avg(11)","tc_e_Avg(12)","voltage_Min"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2013-11-21 12:00:00",0,23.17,24.11,23.06,21.95,22.38,24.4,28.25,26.42,26.33,26.31,26.49,26.81,0.28,0.302,0.277,0.247,0.259,0.308,0.367,0.345,0.343,0.343,0.346,0.35,"NAN",33.44,33.03,32.12,32.89,33.29,33.48,32.13,"NAN","NAN","NAN","NAN",13.78
"2013-11-21 18:00:00",1,23.12,24.04,23.01,21.93,22.37,24.4,28.24,26.41,26.31,26.32,26.49,26.81,0.279,0.3,0.276,0.247,0.259,0.308,0.367,0.344,0.343,0.343,0.346,0.35,"NAN",29.1,28.9,28.57,28.93,28.94,29.06,28.68,"NAN","NAN","NAN","NAN",13.81
"2013-11-22 00:00:00",2,23.1,24.04,23,21.92,22.36,24.39,28.24,26.4,26.32,26.34,26.51,26.81,0.278,0.3,0.276,0.247,0.259,0.308,0.367,0.344,0.343,0.343,0.346,0.35,"NAN",25.04,25.2,25.36,25.57,25.27,25.55,25.5,"NAN","NAN","NAN","NAN",12.9
"2013-11-22 06:00:00",3,23.1,24.04,23.01,21.91,22.37,24.38,28.23,26.4,26.31,26.35,26.52,26.82,0.278,0.3,0.276,0.246,0.259,0.308,0.367,0.344,0.343,0.343,0.346,0.35,"NAN",23.83,23.97,24.22,24.38,24.01,24.26,24.33,"NAN","NAN","NAN","NAN",12.76
"2013-11-22 12:00:00",4,23.08,23.98,22.98,21.9,22.35,24.37,28.23,26.4,26.3,26.35,26.53,26.82,0.278,0.299,0.275,0.246,0.259,0.308,0.367,0.344,0.343,0.343,0.346,0.35,"NAN",29.27,28.5,28.23,28.04,28.07,27.87,27.91,"NAN","NAN","NAN","NAN",13.75
"2013-11-22 18:00:00",5,22.94,23.79,22.85,21.87,22.35,24.37,28.21,26.39,26.29,26.36,26.55,26.81,0.274,0.295,0.272,0.245,0.258,0.307,0.367,0.344,0.343,0.344,0.347,0.35,"NAN",32.55,31.95,31.57,31.9,31.8,31.98,31.5,"NAN","NAN","NAN","NAN",13.6
"2013-11-23 00:00:00",6,22.89,23.76,22.82,21.85,22.33,24.37,28.2,26.38,26.29,26.37,26.56,26.81,0.273,0.294,0.271,0.245,0.258,0.307,0.367,0.344,0.343,0.344,0.347,0.35,"NAN",25.77,25.82,25.99,26.17,25.85,26.13,26.1,"NAN","NAN","NAN","NAN",12.9
"2013-11-23 06:00:00",7,22.89,23.77,22.83,21.84,22.33,24.36,28.2,26.37,26.29,26.37,26.58,26.82,0.273,0.294,0.271,0.244,0.258,0.307,0.367,0.344,0.343,0.344,0.347,0.35,"NAN",24.91,24.95,25.15,25.25,24.95,25.15,25.2,"NAN","NAN","NAN","NAN",12.74
