"TOA5","CR1000_Mutum","CR1000","38184","CR1000.Std.21","CPU:TDR_termopar_6hr.CR1","40663","avarages"
"TIMESTAMP","RECORD","PA_uS_Avg(1)","PA_uS_Avg(2)","PA_uS_Avg(3)","PA_uS_Avg(4)","PA_uS_Avg(5)","PA_uS_Avg(6)","PA_uS_Avg(7)","PA_uS_Avg(8)","PA_uS_Avg(9)","PA_uS_Avg(10)","PA_uS_Avg(11)","PA_uS_Avg(12)","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","tc_e_Avg(1)","tc_e_Avg(2)","tc_e_Avg(3)","tc_e_Avg(4)","tc_e_Avg(5)","tc_e_Avg(6)","tc_e_Avg(7)","tc_e_Avg(8)","tc_e_Avg(9)","tc_e_Avg(10)","tc_e_Avg(11)","tc_e_Avg(12)","voltage_Min"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2014-02-21 12:00:00",115,27.05,27.38,25.68,23.46,23.45,25.13,28.65,26.33,25.83,26.1,26.96,27.33,0.351,0.357,0.333,0.287,0.287,0.323,0.371,0.343,0.335,0.34,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.88
"2014-02-21 18:00:00",116,27.68,28.21,26.65,23.4,23.4,25.13,28.73,26.36,25.83,26.1,26.96,27.33,0.361,0.367,0.348,0.286,0.286,0.323,0.371,0.344,0.335,0.34,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.51
"2014-02-22 00:00:00",117,27.99,28.42,26.95,23.65,23.36,25.11,28.77,26.41,25.83,26.09,26.96,27.33,0.364,0.369,0.352,0.291,0.284,0.322,0.372,0.345,0.335,0.339,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.93
"2014-02-22 06:00:00",118,27.46,28.1,26.86,24.08,23.33,25.09,28.77,26.51,25.83,26.09,26.96,27.33,0.359,0.366,0.351,0.301,0.284,0.322,0.372,0.346,0.335,0.339,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.8
"2014-02-22 12:00:00",119,27.11,27.78,26.57,24.14,23.33,25.07,28.76,26.66,25.84,26.09,26.96,27.33,0.354,0.362,0.347,0.302,0.284,0.321,0.372,0.348,0.335,0.339,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.82
"2014-02-22 18:00:00",120,26.97,27.53,26.32,24.01,23.38,25.05,28.75,26.81,25.85,26.09,26.96,27.33,0.352,0.359,0.343,0.3,0.285,0.321,0.371,0.35,0.336,0.34,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.86
"2014-02-23 00:00:00",121,26.88,27.42,26.15,23.88,23.43,25.04,28.74,26.88,25.87,26.09,26.96,27.33,0.351,0.358,0.34,0.297,0.286,0.321,0.371,0.351,0.336,0.339,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.93
"2014-02-23 06:00:00",122,26.74,27.32,26.04,23.77,23.45,25.05,28.73,26.91,25.9,26.09,26.96,27.33,0.349,0.357,0.339,0.294,0.287,0.321,0.371,0.352,0.336,0.339,0.352,0.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.81
