"TOA5","CR1000_M8","CR1000","62270","CR1000.Std.27","CPU:cs616TC_6hr.CR1","12282","avarages"
"TIMESTAMP","RECORD","PA_uS_Avg(1)","PA_uS_Avg(2)","PA_uS_Avg(3)","PA_uS_Avg(4)","PA_uS_Avg(5)","PA_uS_Avg(6)","PA_uS_Avg(7)","PA_uS_Avg(8)","PA_uS_Avg(9)","PA_uS_Avg(10)","PA_uS_Avg(11)","PA_uS_Avg(12)","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","tc_e_Avg(1)","tc_e_Avg(2)","tc_e_Avg(3)","tc_e_Avg(4)","tc_e_Avg(5)","tc_e_Avg(6)","tc_e_Avg(7)","tc_e_Avg(8)","tc_e_Avg(9)","tc_e_Avg(10)","tc_e_Avg(11)","tc_e_Avg(12)","voltage_Min"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2014-02-21 12:00:00",56,22.52,21.63,20.82,24.67,23.47,22.34,26.34,24.99,26.56,25.64,25.32,25.28,0.147,0.125,0.106,0.204,0.171,0.142,0.253,0.213,0.26,0.232,0.223,0.222,23.76,24.07,24.22,24.17,24.38,24.47,24.5,24.52,"NAN","NAN","NAN","NAN",12.7
"2014-02-21 18:00:00",57,23.92,21.98,20.77,24.62,23.42,22.34,26.35,25.08,26.58,25.64,25.33,25.29,0.184,0.134,0.105,0.203,0.17,0.142,0.254,0.216,0.261,0.232,0.223,0.222,23.12,24.32,24.19,24.19,24.4,24.5,24.51,24.52,"NAN","NAN","NAN","NAN",12.71
"2014-02-22 00:00:00",58,24.38,23.02,21.55,24.69,23.38,22.33,26.35,25.16,26.6,25.65,25.33,25.3,0.196,0.16,0.123,0.205,0.169,0.142,0.254,0.218,0.261,0.233,0.223,0.222,21.46,23.59,24.23,24.24,24.43,24.52,24.53,24.55,"NAN","NAN","NAN","NAN",12.7
"2014-02-22 06:00:00",59,23.37,22.36,21.72,25.26,23.34,22.32,26.35,25.22,26.65,25.65,25.33,25.3,0.169,0.143,0.127,0.221,0.168,0.142,0.254,0.22,0.263,0.233,0.223,0.222,20.92,23.04,24.14,24.25,24.43,24.52,24.53,24.55,"NAN","NAN","NAN","NAN",12.7
"2014-02-22 12:00:00",60,23.04,22.09,21.45,25.28,23.3,22.31,26.34,25.25,26.71,25.65,25.34,25.31,0.16,0.136,0.121,0.222,0.167,0.141,0.253,0.221,0.265,0.233,0.223,0.223,22.37,23.06,23.95,24.22,24.39,24.48,24.52,24.53,"NAN","NAN","NAN","NAN",12.7
"2014-02-22 18:00:00",61,22.92,21.93,21.26,25.16,23.3,22.29,26.34,25.27,26.8,25.66,25.34,25.32,0.157,0.132,0.116,0.218,0.167,0.141,0.253,0.222,0.268,0.233,0.223,0.223,25,24.44,23.8,24.15,24.33,24.44,24.47,24.48,"NAN","NAN","NAN","NAN",12.7
"2014-02-23 00:00:00",62,22.76,21.83,21.12,25.04,23.33,22.28,26.32,25.28,26.89,25.67,25.35,25.34,0.153,0.13,0.113,0.215,0.168,0.141,0.253,0.222,0.27,0.233,0.224,0.223,22.55,24.2,23.98,24.18,24.4,24.51,24.51,24.53,"NAN","NAN","NAN","NAN",12.7
"2014-02-23 06:00:00",63,22.64,21.76,21.02,24.93,23.35,22.26,26.31,25.27,26.97,25.68,25.35,25.33,0.15,0.128,0.11,0.212,0.168,0.14,0.252,0.221,0.273,0.234,0.224,0.223,21.56,23.42,24.07,24.18,24.41,24.52,24.53,24.55,"NAN","NAN","NAN","NAN",12.7
