"Date","Hour","PitID","LUType","Month","Year","tc_e_Avg.1.","tc_e_Avg.2.","tc_e_Avg.3.","tc_e_Avg.4.","tc_e_Avg.5.","tc_e_Avg.6.","tc_e_Avg.7.","tc_e_Avg.8.","tc_e_Avg.9.","tc_e_Avg.10.","tc_e_Avg.11.","tc_e_Avg.12.","filename","DateLong"
"2013-12-13",0,"C2","Forest","Dec",2013,"20.85","22.13","18.71","23.79","21.95","23.12","23.83","24.02","24.26","23.93","24.93","26.29","CR10X_C2_ 20131219.dat",2013-12-13 03:00:00
"2013-12-13",18,"C2","Forest","Dec",2013,"20.9","22.15","18.71","23.8","21.95","23.12","23.82","24.02","24.26","23.93","24.93","26.29","CR10X_C2_ 20131219.dat",2013-12-13 03:00:00
"2013-12-14",0,"C2","Forest","Dec",2013,"21.24","22.02","18.66","23.72","21.93","23.11","23.86","24.02","24.25","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-14 03:00:00
"2013-12-14",6,"C2","Forest","Dec",2013,"20.9","22.14","18.71","23.78","21.95","23.12","23.84","24.02","24.26","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-14 03:00:00
"2013-12-14",12,"C2","Forest","Dec",2013,"20.86","22.11","18.7","23.77","21.94","23.11","23.84","24.02","24.25","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-14 03:00:00
"2013-12-14",18,"C2","Forest","Dec",2013,"20.75","22.03","18.67","23.74","21.93","23.11","23.85","24.02","24.25","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-14 03:00:00
"2013-12-15",0,"C2","Forest","Dec",2013,"22.92","24.83","19.94","23.72","21.91","23.1","23.89","24.02","24.26","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-15 03:00:00
"2013-12-15",6,"C2","Forest","Dec",2013,"21.37","22.02","18.66","23.72","21.93","23.11","23.87","24.02","24.25","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-15 03:00:00
"2013-12-15",12,"C2","Forest","Dec",2013,"24.4","25.85","19.07","23.71","21.92","23.11","23.87","24.02","24.25","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-15 03:00:00
"2013-12-15",18,"C2","Forest","Dec",2013,"23.34","25.28","20.04","23.7","21.92","23.1","23.88","24.02","24.25","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-15 03:00:00
"2013-12-16",0,"C2","Forest","Dec",2013,"23.68","25.51","20.35","25.78","21.9","23.1","23.92","24.02","24.25","23.94","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-16 03:00:00
"2013-12-16",6,"C2","Forest","Dec",2013,"24.57","26.01","20.44","23.99","21.91","23.1","23.9","24.02","24.27","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-16 03:00:00
"2013-12-16",12,"C2","Forest","Dec",2013,"23.42","25.13","20.15","25.37","21.91","23.1","23.9","24.02","24.26","23.93","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-16 03:00:00
"2013-12-16",18,"C2","Forest","Dec",2013,"23.7","25.31","20.06","25.54","21.9","23.1","23.91","24.02","24.26","23.94","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-16 03:00:00
"2013-12-17",0,"C2","Forest","Dec",2013,"22.95","24.34","19.73","25.56","21.98","23.09","23.94","24.02","24.26","23.94","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-17 03:00:00
"2013-12-17",6,"C2","Forest","Dec",2013,"23.2","24.96","20.07","25.93","21.9","23.1","23.92","24.02","24.25","23.94","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-17 03:00:00
"2013-12-17",12,"C2","Forest","Dec",2013,"22.97","24.69","19.92","25.81","21.9","23.1","23.93","24.02","24.26","23.94","24.92","26.29","CR10X_C2_ 20131219.dat",2013-12-17 03:00:00
"2013-12-17",18,"C2","Forest","Dec",2013,"22.86","24.45","19.8","25.67","21.93","23.09","23.94","24.02","24.25","23.94","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-17 03:00:00
"2013-12-18",0,"C2","Forest","Dec",2013,"22.48","24.07","19.59","25.23","22.42","23.1","23.97","24.02","24.27","23.94","24.93","26.28","CR10X_C2_ 20131219.dat",2013-12-18 03:00:00
"2013-12-18",6,"C2","Forest","Dec",2013,"22.85","24.32","19.7","25.47","22.08","23.09","23.95","24.02","24.26","23.94","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-18 03:00:00
"2013-12-18",12,"C2","Forest","Dec",2013,"22.76","24.28","19.68","25.39","22.2","23.09","23.95","24.02","24.28","23.94","24.93","26.28","CR10X_C2_ 20131219.dat",2013-12-18 03:00:00
"2013-12-18",18,"C2","Forest","Dec",2013,"22.6","24.17","19.63","25.31","22.32","23.09","23.96","24.02","24.28","23.94","24.93","26.28","CR10X_C2_ 20131219.dat",2013-12-18 03:00:00
"2013-12-19",0,"C2","Forest","Dec",2013,"23.26","24.97","19.98","25.94","23.26","23.14","23.99","24.02","24.26","23.95","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-19 03:00:00
"2013-12-19",6,"C2","Forest","Dec",2013,"23.92","25.73","20.44","25.9","22.5","23.1","23.97","24.02","24.27","23.94","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-19 03:00:00
"2013-12-19",12,"C2","Forest","Dec",2013,"23.66","25.37","20.28","26.55","22.56","23.11","23.98","24.02","24.26","23.95","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-19 03:00:00
"2013-12-19",18,"C2","Forest","Dec",2013,"23.27","24.96","20.05","26.2","22.77","23.12","23.98","24.02","24.26","23.95","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-19 03:00:00
"2013-12-20",6,"C2","Forest","Dec",2013,"23.08","24.81","19.91","25.75","23.47","23.16","23.99","24.02","24.26","23.95","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-20 03:00:00
"2013-12-20",12,"C2","Forest","Dec",2013,"23.03","24.64","19.84","25.62","23.5","23.19","24","24.02","24.26","23.94","24.92","26.28","CR10X_C2_ 20131219.dat",2013-12-20 03:00:00
"2014-2-22",0,"C2","Forest","Feb",2014,"23.66","26.16","19.18","25.12","23.54","24.56","25.76","25.88","25.66","25.26","25.91","26.53","CR10X_C2_ 20140227.dat",2014-02-22 03:00:00
"2014-2-22",12,"C2","Forest","Feb",2014,"22.42","24.22","18.54","25.2","23.6","24.58","25.7","25.81","25.65","25.26","25.89","26.52","CR10X_C2_ 20140227.dat",2014-02-22 03:00:00
"2014-2-22",18,"C2","Forest","Feb",2014,"23.07","25.33","18.57","25.15","23.58","24.57","25.73","25.84","25.65","25.26","25.9","26.52","CR10X_C2_ 20140227.dat",2014-02-22 03:00:00
"2014-2-23",0,"C2","Forest","Feb",2014,"22.74","24.64","18.73","25.42","23.47","24.49","25.81","26.02","25.7","25.27","25.94","26.56","CR10X_C2_ 20140227.dat",2014-02-23 03:00:00
"2014-2-23",6,"C2","Forest","Feb",2014,"23.28","25.4","19.1","25.43","23.5","24.55","25.78","25.92","25.67","25.26","25.92","26.53","CR10X_C2_ 20140227.dat",2014-02-23 03:00:00
"2014-2-23",12,"C2","Forest","Feb",2014,"23.04","25.05","18.93","25.56","23.47","24.53","25.79","25.95","25.68","25.26","25.92","26.54","CR10X_C2_ 20140227.dat",2014-02-23 03:00:00
"2014-2-23",18,"C2","Forest","Feb",2014,"22.88","24.81","18.81","25.5","23.47","24.51","25.8","25.99","25.69","25.27","25.93","26.54","CR10X_C2_ 20140227.dat",2014-02-23 03:00:00
"2014-2-24",0,"C2","Forest","Feb",2014,"22.3","24.16","18.5","25.11","23.43","24.45","25.8","26.1","25.8","25.32","25.96","26.58","CR10X_C2_ 20140227.dat",2014-02-24 03:00:00
"2014-2-24",6,"C2","Forest","Feb",2014,"22.65","24.53","18.68","25.34","23.48","24.48","25.81","26.05","25.72","25.29","25.94","26.56","CR10X_C2_ 20140227.dat",2014-02-24 03:00:00
"2014-2-24",12,"C2","Forest","Feb",2014,"22.56","24.42","18.63","25.27","23.48","24.47","25.81","26.07","25.74","25.3","25.95","26.56","CR10X_C2_ 20140227.dat",2014-02-24 03:00:00
"2014-2-24",18,"C2","Forest","Feb",2014,"22.39","24.26","18.56","25.18","23.46","24.46","25.8","26.09","25.77","25.31","25.96","26.57","CR10X_C2_ 20140227.dat",2014-02-24 03:00:00
"2014-2-25",0,"C2","Forest","Feb",2014,"23.23","25.44","19.05","26.12","23.38","24.42","25.79","26.13","25.94","25.38","26","26.61","CR10X_C2_ 20140227.dat",2014-02-25 03:00:00
